"","lon","lat"
"3469",-99.1907364,19.5345279
"3470",NA,NA
"3471",-77.0947092,38.984652
"3472",-100.9855409,22.1564699
"3473",-100.9855409,22.1564699
"3474",NA,NA
"3475",-100.9855409,22.1564699
"3476",-122.9381672,46.1381676
"3477",-119.4179324,36.778261
"3478",-104.0072348,19.1222634
"3479",-73.3467167,42.2024768
"3480",-95.712891,37.09024
"3481",-100.3161126,25.6866142
"3482",-85.323214,51.253775
"3483",-75.2854622,40.0067785
"3484",-93.0899578,44.9537029
"3485",-110.9747108,32.2226066
"3486",-84.3879824,33.7489954
"3487",-93.2650108,44.977753
"3488",-93.2650108,44.977753
"3489",-122.304303,47.398634
"3490",-100.9855409,22.1564699
"3491",NA,NA
"3492",-73.9712488,40.7830603
"3493",-73.9712488,40.7830603
"3494",-99.644674,19.2606061
"3495",NA,NA
"3496",NA,NA
"3497",NA,NA
"3498",-122.2015159,47.6101497
"3499",-82.9000751,32.1656221
"3500",-85.323214,51.253775
"3501",-122.4194155,37.7749295
"3502",-94.4589858,18.1344779
"3503",-82.5166982,35.4661613
"3504",NA,NA
"3505",17.228331,26.3351
"3506",-90.1848103,32.2987573
"3507",-111.0937311,34.0489281
"3508",NA,NA
"3509",-76.4921829,38.9784453
"3510",-122.6252431,45.5049376
"3511",-89.3985283,40.6331249
"3512",-85.7371847,38.2775702
"3513",-84.3879824,33.7489954
"3514",-2.6325074,53.5450645
"3515",NA,NA
"3516",NA,NA
"3517",NA,NA
"3518",-122.2988587,38.0043667
"3519",-103.8738031,18.9173829
"3520",-98.4842465,39.011902
"3521",-74.0059728,40.7127753
"3522",-93.2009998,44.9374831
"3523",-93.2009998,44.9374831
"3524",-111.8910474,40.7607793
"3525",-97.3635602,32.7095936
"3526",-71.3824374,42.4072107
"3527",-71.3824374,42.4072107
"3528",-93.4687489,44.9211836
"3529",-84.3879824,33.7489954
"3530",-84.3879824,33.7489954
"3531",-103.7364169,18.9995683
"3532",-120.7401385,47.7510741
"3533",NA,NA
"3534",-73.3467167,42.2024768
"3535",-74.4815438,40.7967667
"3536",-120.5542012,43.8041334
"3537",-97.4394777,35.2225668
"3538",-84.5120196,39.1031182
"3539",-79.3831843,43.653226
"3540",-104.0072348,19.1222634
"3541",-119.7829107,36.3007835
"3542",-97.0041525,19.4247826
"3543",-117.8311428,33.7174708
"3544",-74.0059728,40.7127753
"3545",-3.60512,55.070859
"3546",-73.3467167,42.2024768
"3547",-95.712891,37.09024
"3548",-118.2436849,34.0522342
"3549",-99.5006322,17.5515346
"3550",-74.4056612,40.0583238
"3551",-97.7430608,30.267153
"3552",NA,NA
"3553",-122.3320708,47.6062095
"3554",-99.5006322,17.5515346
"3555",-99.5450974,17.4391926
"3556",-123.2620435,44.5645659
"3557",-94.6858998,46.729553
"3558",-82.907123,40.4172871
"3559",-77.39628,25.03428
"3560",-87.2169149,30.421309
"3561",-95.712891,37.09024
"3562",-111.9260519,33.4941704
"3563",-77.0368707,38.9071923
"3564",-77.0368707,38.9071923
"3565",-100.9855409,22.1564699
"3566",-100.9855409,22.1564699
"3567",-97.5164276,35.4675602
"3568",-102.552784,23.634501
"3569",-80.1917902,25.7616798
"3570",16.6043199,40.666379
"3571",-82.9824019,39.3331197
"3572",-81.378447,40.7989473
"3573",NA,NA
"3574",-87.6297982,41.8781136
"3575",-122.3320708,47.6062095
"3576",-122.3320708,47.6062095
"3577",-82.907123,40.4172871
"3578",-111.0937311,34.0489281
"3579",-119.4179324,36.778261
"3580",-94.017453,41.6144325
"3581",-99.2926131,37.6027963
"3582",-82.907123,40.4172871
"3583",-81.1881557,37.7781702
"3584",-86.158068,39.768403
"3585",-75.5993692,38.3606736
"3586",-106.8653374,44.6013609
"3587",-87.6297982,41.8781136
"3588",-95.7243335,37.2321077
"3589",-94.6858998,46.729553
"3590",-74.0059728,40.7127753
"3591",NA,NA
"3592",-95.712891,37.09024
"3593",NA,NA
"3594",-104.0072348,19.1222634
"3595",NA,NA
"3596",-93.2009998,44.9374831
"3597",NA,NA
"3598",-120.5542012,43.8041334
"3599",-98.4842465,39.011902
"3600",-77.1527578,39.0839973
"3601",-98.2062727,19.0414398
"3602",-85.323214,51.253775
"3603",-73.8205567,45.4895636
"3604",-95.6010668,33.1384479
"3605",-86.5804473,35.5174913
"3606",NA,NA
"3607",NA,NA
"3608",NA,NA
"3609",NA,NA
"3610",NA,NA
"3611",NA,NA
"3612",-1.0872979,53.9599651
"3613",-96.9101806,19.5437751
"3614",NA,NA
"3615",-104.0072348,19.1222634
"3616",NA,NA
"3617",NA,NA
"3618",-99.549573,27.4779362
"3619",-95.3698028,29.7604267
"3620",-77.0368707,38.9071923
"3621",73.0478848,33.6844202
"3622",-71.0588801,42.3600825
"3623",-111.8314724,33.4151843
"3624",-89.0931574,42.1016919
"3625",-83.0302033,42.5803122
"3626",NA,NA
"3627",NA,NA
"3628",NA,NA
"3629",-100.9855409,22.1564699
"3630",-83.9844416,34.5278618
"3631",12.4963655,41.9027835
"3632",-86.902298,32.3182314
"3633",-122.2015159,47.6101497
"3634",-122.2015159,47.6101497
"3635",-117.8516295,33.8504841
"3636",-117.8516295,33.8504841
"3637",-87.0738851,20.6295586
"3638",-104.0072348,19.1222634
"3639",-95.712891,37.09024
"3640",-99.133208,19.4326077
"3641",-86.8515279,21.161908
"3642",NA,NA
"3643",-122.4194155,37.7749295
"3644",-87.6297982,41.8781136
"3645",-6.2603097,53.3498053
"3646",24.96676,45.943161
"3647",NA,NA
"3648",-122.2020795,47.9789848
"3649",-84.2807329,30.4382559
"3650",-84.5830883,33.9131484
"3651",-6.2603097,53.3498053
"3652",-82.9987942,39.9611755
"3653",-82.8373654,34.6834382
"3654",-66.6134129,18.0117807
